icao,iata,name,country,callsign
CCC,CB,CCML Airlines,Colombia,
FBL,F1,Fly Brasil,Brazil,FBL
CIF,1F,CB Airways UK ( Interliging Flights ),United Kingdom,
3FF,3F,Fly Colombia ( Interliging Flights ),Colombia,
TP6,T6,Trans Pas Air,United States,
HYM,HC,Himalayan Airlines,Nepal,Himalayan
IG1,G1,Indya Airline Group,India,Indya1
ZXY,ZX,Japan Regio,Japan,
SKV,RS,Sky Regional,Canada,Sky Regional
UWW,II,LSM International ,Russia,moose
BUU,BU,Baikotovitchestrian Airlines ,American Samoa,
LJJ,L4,Luchsh Airlines ,Russia,russian sky
ZTF,7M,Mongolian International Air Lines ,Mongolia,Mongol_AIr 
TWB,TW,Tway Airlines,South Korea,TWAY AIR
JSR,JX,Jusur airways,Egypt,
NXB,XB,NEXT Brasil,Brazil,XB
WER,W4,AeroWorld ,Russia,sovet
ES2,E1,Usa Sky Cargo,United States,USKY
HNX,HN,Hankook Airline,South Korea,HNX
MRS,Y8,Marusya Airways,Russia,snowball
ERR,7H,Era Alaska,United States,ERAH
RRJ,R8,AirRussia,Russia,russiancloud
HA1,H1,Hankook Air US,United States,
RSY,H5,I-Fly,Russia,RUSSIAN SKY
VKJ,KT,VickJet,France,Vickjet
SLC,SO,Salsa d\\'Haiti,Haiti,SALSA
N12,12,12 North,India,12N
MAI,L6,Mauritania Airlines International,Mauritania,
MKD,6F,MAT Airways,Macedonia,
AWM,AW,Asian Wings Airways,Burma,Asian Star
RBG,E5,Air Arabia Egypt,Egypt,
ORC,OI,Orchid Airlines,Australia,
AWA,Y5,Asia Wings,Kazakhstan,
NIA,NP,Nile Air,Egypt,NILEBIRD
SGG,DN,Senegal Airlines,Senegal,
CX0,0X,Copenhagen Express,Denmark,Copex
BCC,8B,BusinessAir,Thailand,
CR7,C7,Sky Wing Pacific,South Korea,
AI0,PP,Air Indus,Pakistan,AIPL
ABI,U1,Aviabus,Russia,
MJG,DF,Michael Airlines,Puerto Rico,MJG
KGO,ZC,Korongo Airlines,Congo (Kinshasa),KORONGO
IDS,I5,Indonesia Sky,Indonesia,
666,B0,Aws express,United States,aws
SJS,76,Southjet,United States,
ZCS,77,Southjet connect,United States,
XAN,78,Southjet cargo,United States,
IBS,I2,Iberia Express,Spain,
NGB,NJ,Nordic Global Airlines,Finland,Nordic Global
SCO,TZ,Scoot,Singapore,
ZNA,ZN,Zenith International Airline,Thailand,ZENITH
OAB,O1,Orbit Airlines Azerbaijan,Azerbaijan,Orbitaz
RBY,V2,Vision Airlines (V2),United States,RUBY
YEL,YE,Yellowtail,United States,
RAW,KG,Royal Airways,United States,RAW
FHI,FH,FlyHigh Airlines Ireland (FH),Ireland,FLYHIRELAND
TJA,TJ,T.J. Air,United States,T.J. Air
QER,Q3,SOCHI AIR CHATER,Russia,russian doll
MXD,OD,Malindo Air,Malaysia,Malindo
M1F,M1,Maryland Air,United States,Maryland Flight
VVC,5Z,VivaColombia,Colombia,
IWA,ZM,Apache Air,United States,APACHE
JTO,NR,Jettor Airlines,Hong Kong,JETHAPPY
NCR,N8,National Air Cargo,United States,
EAV,13,Eastern Atlantic Virtual Airlines,United States,EAVA
SBD,S8,Snowbird Airlines,Finland,
KHK,KH,Kharkiv Airlines,Ukraine,
XAU,XA,XAIR USA,United States,XAIR
XPT,XP,XPTO,Portugal,XPTO
...,..,Avilu,Switzerland,
ASL,JU,Air Serbia,Serbia,AIR SERBIA
LTU,LT,Air Lituanica,Lithuania,LITUANICA
RAB,RN,Rainbow Air (RAI),United States,Rainbow
RAY,RY,Rainbow Air Canada,Canada,Rainbow CAN
RPO,RX,Rainbow Air Polynesia,United States,Rainbow Air
RUE,RU,Rainbow Air Euro,United Kingdom,Rainbow Air
RNY,RM,Rainbow Air US,United States,Rainbow Air
DOB,QD,Dobrolet,Russia,DOBROLET
SAL,S0,Spike Airlines,United States,Spike Air
AL1,L1,All Argentina,Argentina,
AL2,A2,All America,United States,
AL3,L9,All Asia,China,
99F,9A,All Africa,South Africa,
J88,N4,Regionalia México,Mexico,
N99,N9,All Europe,United Kingdom,
N77,N7,All Spain,Spain,
N78,9N,Regional Air Iceland,Iceland,
K88,8K,Voestar,Brazil,
7KK,7O,All Colombia,Colombia,
2K2,2X,Regionalia Uruguay,Uruguay,
9XX,9X,Regionalia Venezuela,Venezuela,
CR1,9J,Regionalia Chile,Chile,
6CC,6C,Vuela Cuba,Cuba,
8K8,88,All Australia,Australia,
RWW,ER,Fly Europa,Spain,
FPT,PO,FlyPortugal,Portugal,FlyPortugal
SJO,IJ,Spring Airlines Japan,Japan,
DWA,KP,Dense Airways,United States,DENSE
DC2,KZ,Dense Connection,United States,DC2
VI4,4S,Vuola Italia,Italy,
Z9H,Z0,All Argentina Express,Argentina,
M7A,2R,All America AR,Argentina,
R1R,1R,All America CL,Chile,
SAE,Q4,SOCHI AIR EXPRESS,Russia,ADLER EXPRESS
A9B,1Y,All America BR,Brazil,
VC9,9V,Volotea Costa Rica,Costa Rica,
OTJ,X5,Fly Romania,Romania,TENDER AIR
7ZC,0Y,All America CO,Colombia,
0MM,0M,All America MX,Mexico,
FOX,FX,FOX Linhas Aereas,Brazil,
CZV,6V,Via Conectia Airlines,Uruguay,
GTA,E8,City Airways,Thailand,CITY AIR
NLH,DU,Norwegian Long Haul AS,Norway,NORSTAR
TNU,M8,TransNusa Air,Indonesia,TRANSNUSA
T9P,ZT,Tomp Airlines,Chile,
GA0,0G,Global Airlines,Argentina,
VTI,UK,Air Vistara,India,
RGG,1E,TransRussiaAirlines,Russia,
RXR,RR,REXAIR VIRTUEL,France,Rexair
WEN,WR,WestJet Encore,Canada,Encore
PPL,OP,Air Pegasus,India,
INE,9I,International Europe,Spain,
VAX,ZV,V Air,Taiwan,
BTQ,4B,Boutique Air (Priv),United States,
VOE,V7,VOLOTEA Airways,Spain,
IIR,Z5,INAVIA Internacional,Argentina,
LTY,LE,Liberty Airways,United States,
BSX,5B,Bassaka airlines,Cambodia,5B
VIA,V1,VIA Líneas Aéreas,Argentina,
GXG,GX,GermanXL,Germany,
FRF,FF,Fly France,France,
EU9,EX,Europe Jet,France,
WSS,W3,World Scale Airlines,United States,
SSA,AG,All America US,United States,
BG1,1K,BudgetAir,Germany,
FI5,F5,Fly One,Moldova,
PYB,0P,All America BOPY,Paraguay,BOPY
SJM,7R,Svyaz Rossiya,Russia,RussianConnecty
